chorus_path,title,artist,rank,year,popularity,file_path,chroma_mean_1,chroma_mean_2,chroma_mean_3,tempo,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonal_centroid_1,tonal_centroid_2,tonal_centroid_3,tonal_centroid_4,tonal_centroid_5,tonal_centroid_6,zero_crossing_rate,tuning
choruss\Look Alive_chorus.wav,Look Alive,BlocBoy JB Featuring Drake,23,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Look Alive.mp3,0.48959165811538696,0.45873185992240906,0.47028037905693054,92.28515625,3403.4044010319744,2987.404775099828,7032.824140141254,0.019512906455187887,0.03826231605071975,-0.06289392701658715,-0.024007595853517336,-0.012570838179772,-0.007385357058875155,0.12748297818304954,-0.37
choruss\Delicate_chorus.wav,Delicate,Taylor Swift,24,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Delicate.mp3,0.7287635207176208,0.5491675734519958,0.5994306206703186,95.703125,2252.06347905414,2742.282075159832,5372.3508474627515,-0.02753529657019229,0.017042348153222735,-0.023001787022056453,-0.027581733980161754,0.023958732107210976,0.017150784726615142,0.059834861164860684,-0.020000000000000018
choruss\Yes Indeed_chorus.wav,Yes Indeed,Lil Baby & Drake,25,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Yes Indeed.mp3,0.5227181315422058,0.5259714722633362,0.5245082974433899,117.45383522727273,2608.867393411622,1977.6652876669216,4367.35692452351,-0.0997121559465635,-0.03322245193026105,-0.22369098846278773,-0.0072911921924636415,0.03451418625119739,-0.038623547004341154,0.1067348043246904,0.020000000000000018
choruss\Friends_chorus.wav,Friends,Marshmello & Anne-Marie,26,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Friends.mp3,0.3375638425350189,0.2584220767021179,0.34647834300994873,95.703125,3106.580902515087,2733.821217394704,6346.02829310178,0.12865611475647773,0.054530014464129375,-0.08642838466710726,0.05325401284884665,-0.008268303608859448,0.007622913055225732,0.17130508659055727,0.0
choruss\Bad At Love_chorus.wav,Bad At Love,Halsey,27,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Bad At Love.mp3,0.43501096963882446,0.2678390145301819,0.3504813015460968,117.45383522727273,2401.6335131756414,2635.153665587455,5184.235318304954,0.06008017737597707,0.2491481015406665,-0.02177578847330591,0.041725642481766155,0.004309393144684122,-0.03031535006175816,0.09946349530766253,-0.010000000000000009
choruss\Taste_chorus.wav,Taste,Tyga Featuring Offset,28,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Taste.mp3,0.5314750075340271,0.4802703261375427,0.4633903503417969,198.76802884615384,595.9067368665162,1307.0009571861003,1015.0271956027477,-0.07819618112723944,0.11857220256192767,-0.1578130887971976,0.03301941985322018,-0.031788602076280474,0.021538937237923193,0.009070995791408668,-0.04999999999999999
choruss\Let You Down_chorus.wav,Let You Down,NF,29,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Let You Down.mp3,0.3751507103443146,0.24990837275981903,0.20673349499702454,86.1328125,1912.3223497051963,2123.351021614348,3739.9107186048764,-0.1904537561940102,0.15429522668640094,-0.15562413637338973,0.1014397377263597,-0.06666210720200308,-0.01662468591715061,0.09168803212074303,-0.14
choruss\No Limit_chorus.wav,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,30,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\No Limit.mp3,0.5256167054176331,0.5230917930603027,0.5702500939369202,172.265625,2279.505075955483,2763.2619149077404,5626.465977529992,-0.060213348851367816,9.396032197692525e-05,0.07180904713531346,0.030711630901361774,0.021094240295357385,0.028585046936322554,0.05980538288506192,-0.28
choruss\FEFE_chorus.wav,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,31,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\FEFE.mp3,0.46610984206199646,0.490843266248703,0.48363232612609863,123.046875,2250.7796717328542,2516.9300440079005,4925.703548277864,-0.1515591632541094,-0.03406861566525557,0.10169530602391105,-0.035290001937687325,0.003964739576770985,0.08917640016959182,0.06889376330301858,-0.07
choruss\Tequila_chorus.wav,Tequila,Dan + Shay,32,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Tequila.mp3,0.6075652837753296,0.3761594593524933,0.46810662746429443,89.10290948275862,2792.3313884795175,2142.907920103878,5094.285862217009,0.006033723080157312,0.05591652326525435,-0.03796556216575278,0.0586635960761925,-0.017945362353177324,0.00936472772594669,0.17736778613583593,-0.5
choruss\Feel It Still_chorus.wav,Feel It Still,Portugal. The Man,33,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Feel It Still.mp3,0.4130156934261322,0.5669998526573181,0.3854532539844513,161.4990234375,2333.259557126302,2665.9995321971546,5382.584118916892,-0.03169950524401306,-0.1522285865597075,-0.1395913825684662,0.0284217753744573,0.07309952214808621,-0.014477353077381789,0.08144017269736842,-0.010000000000000009
choruss\MotorSport_chorus.wav,MotorSport,"Migos, Nicki Minaj & Cardi B",34,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\MotorSport.mp3,0.4284622073173523,0.44827333092689514,0.5976999402046204,135.99917763157896,2740.095537121622,2942.6997165017674,6056.380044565112,0.32066720149989053,0.139750764268281,-0.06109278603534786,-0.32244575607674036,-0.12499913593450895,-0.03681485594470841,0.08702970805921052,-0.06
choruss\I Like Me Better_chorus.wav,I Like Me Better,Lauv,35,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Like Me Better.mp3,0.21638856828212738,0.20673899352550507,0.1433452069759369,123.046875,2128.9726448066954,2270.6094735420284,4570.205697924729,0.0682188430454536,-0.09772851124461664,-0.0916632042574954,0.06748913342404123,-0.03962603995119514,0.0309504745250579,0.0772081499129257,-0.010000000000000009
choruss\Youngblood_chorus.wav,Youngblood,5 Seconds Of Summer,36,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Youngblood.mp3,0.5793564915657043,0.42253631353378296,0.43163490295410156,117.45383522727273,2688.6132276325557,2626.436202187999,5626.682642886513,-0.023598217682723133,0.032188240953955345,0.005473124215107815,-0.023019771013790012,0.015357548989676034,-0.008557904492948253,0.1276454866486068,-0.010000000000000009
choruss\Whatever It Takes_chorus.wav,Whatever It Takes,Imagine Dragons,37,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Whatever It Takes.mp3,0.6238275766372681,0.7073037624359131,0.37693580985069275,135.99917763157896,2533.9385821061746,2604.601735442954,5441.467096192918,-0.16960277909251384,-0.11647931360872148,-0.10446343586806138,-0.06021373954546839,0.028300194575005433,-0.023134796101680604,0.10403262867647059,-0.04999999999999999
